"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.5",110.298252598918,0.206637612667386,0.332545366235656,0.621381723060768,0.534348494624253,0.814020814659964
"ENSG00000238009.6",14.5475443106928,-0.660405829807294,0.927570023835606,-0.711974096657891,0.476480816538691,0.779780829681067
"ENSG00000233750.3",112.804263696997,-0.371802309674319,0.695724290365308,-0.53441041921807,0.593057611896435,0.842463030702435
"ENSG00000268903.1",3360.68162425647,-0.847729194655964,0.496572560820825,-1.70716076871965,0.0877921746550258,0.479656404314815
"ENSG00000269981.1",1841.33673904357,-0.575600429307946,0.478236783693502,-1.20358878474903,0.228748556411045,0.611584045895129
"ENSG00000239906.1",77.8390262643491,-0.401455908929863,0.564632723869297,-0.71100361696853,0.477081994443668,0.780152420960894
"ENSG00000241860.6",61.4509305212421,-0.0967508433335679,0.525545992627997,-0.184095863522362,0.853938251452794,0.952224141067733
"ENSG00000279928.2",7.08832775684807,-0.66626178892096,0.906568962189186,-0.734926758701366,0.462384100751817,0.77302716572516
"ENSG00000279457.4",211.056047280483,0.471980472576433,0.308768721883528,1.52858900246532,0.126366364058759,0.523816148093445
"ENSG00000228463.9",132.93448213018,-0.362495102516368,0.669900357294094,-0.541117941749699,0.588426292379129,0.84069720644099
"ENSG00000237094.11",39.7552466016656,0.666759182584474,0.481604330822536,1.38445429144234,0.166219394780517,0.561687291896637
"ENSG00000250575.1",26.0270615574538,0.345939229429371,0.859968161521434,0.402269810567573,0.687485470008911,0.886261521198408
"ENSG00000225972.1",423.702231040114,5.18388256838629,0.960701423913691,5.39593513588048,6.81675716541172e-08,6.41986313428802e-05
"ENSG00000225630.1",2051.39948592772,1.47261083689695,0.534079955835274,2.75728534802221,0.00582834656447332,0.213076364844056
"ENSG00000237973.1",941.357703930857,1.21142156405686,0.608817621460663,1.98979385838149,0.0466136482667414,0.418413978534318
"ENSG00000229344.1",145.565830849362,1.66627312326439,0.714278710176227,2.33280524748285,0.0196583691430006,0.332787458920993
"ENSG00000240409.1",18.8091082438931,1.26192229154981,0.68626770011821,1.83881929942564,0.0659417686387815,0.454674184729464
"ENSG00000248527.1",9850.51423230721,1.2018488146956,0.46311006914053,2.59516882655148,0.00945444663209024,0.261899940729603
"ENSG00000198744.5",132.819567099845,2.21534995579399,0.736011062897465,3.00994111022298,0.00261298347136316,0.142809728782614
"ENSG00000228327.3",420.347618636272,0.179564785379371,0.431993774384796,0.415665215627448,0.677654998000838,0.880788779282289
"ENSG00000237491.8",17.9225810690929,0.35980440092743,0.424454622196895,0.847686377085852,0.396612655140251,0.734602271791918
"ENSG00000230092.7",8.41083073562905,0.127714313255067,0.491012667544463,0.260103907081994,0.794783624212347,0.931961723018572
"ENSG00000228794.8",239.393785088193,0.493543391042966,0.409524176798448,1.20516301357677,0.228140377659015,0.610961772544778
"ENSG00000225880.5",52.4335079342104,0.668803901771805,0.453163089935338,1.47585696325629,0.139982294930831,0.537125843602766
"ENSG00000187634.11",6.37189434497822,0.065990640992212,0.667609626463282,0.0988461495706748,0.92126042582845,0.975160076554738
"ENSG00000188976.10",1174.01444150787,0.23885738287324,0.274747713826892,0.86936986497997,0.384644860364255,0.727937853016244
"ENSG00000187961.13",335.351807142473,0.642020737593734,0.373235784670098,1.7201478635314,0.085405567260959,0.475899571537629
"ENSG00000187583.10",40.6743267120876,-0.0392596164383207,0.39621380055432,-0.0990869484692224,0.921069234700934,0.975160076554738
"ENSG00000187642.9",43.3887234949459,0.633604263489877,0.909916822790706,0.696332068624272,0.486220894501158,0.784439509833188
"ENSG00000272512.1",14.2393992303016,0.781889029408627,1.00758103481476,0.776006100146945,0.437745384075459,0.758733409975188
"ENSG00000188290.10",107.777023369783,2.13675249198452,0.951992611974819,2.24450533030086,0.0247999063526652,0.355645680287951
"ENSG00000187608.8",1521.04794649188,2.17912435176712,0.751103783364458,2.9012293640781,0.00371701700360974,0.170260806325165
"ENSG00000188157.14",169.27039385,1.31640734174521,0.503228871662055,2.61592173238671,0.00889869528367297,0.254968625381119
"ENSG00000217801.9",22.1325882587209,0.764376957474801,0.488489235698873,1.56477748456672,0.117635092829567,0.515958610445564
"ENSG00000131591.17",401.117511101889,0.199600429559473,0.382030329507741,0.522472730939098,0.601341227964567,0.84623820360275
"ENSG00000223823.1",10.6199099800524,-0.658535133848715,0.883608905762413,-0.745278968505309,0.456103092557421,0.769686337233954
"ENSG00000186891.13",415.398392932182,0.666307611923194,0.731958996105744,0.910307292441466,0.36266047375827,0.712763895306787
"ENSG00000186827.10",300.698497318734,1.07142907939343,0.712977402000041,1.50275320983226,0.132902695822091,0.531013698145351
"ENSG00000078808.16",3778.56956799156,-0.204933901914193,0.15860886487643,-1.29207091970461,0.196332585572457,0.58751092125779
"ENSG00000176022.4",361.101888691753,-0.812644895199177,0.408025389858847,-1.99165276327609,0.0464091698862968,0.418413978534318
"ENSG00000184163.3",29.0662358713142,-0.536645181380746,0.452408515162093,-1.18619602283231,0.235544896523512,0.616862929998119
"ENSG00000260179.1",17.8307707179554,-0.425266514239787,0.548183699826098,-0.775773731277846,0.437882596755048,0.758798218927512
"ENSG00000160087.20",1673.13366697519,-0.571292651508768,0.310677586469891,-1.83886020874613,0.065935749761469,0.454674184729464
"ENSG00000230415.1",9.75608869160485,0.690337685174465,0.556728761243768,1.23998926089647,0.214979366296836,0.599859476767999
"ENSG00000162572.20",184.893630173966,0.895015931694242,0.489590993305961,1.82808904561469,0.0675361887220557,0.457212782034049
"ENSG00000131584.18",2017.27363670241,-0.160958888138016,0.278907998036796,-0.577103881104124,0.563869282692607,0.829507452958571
"ENSG00000169972.11",274.597906523715,-0.469149313096194,0.265271670843205,-1.7685616847247,0.0769670496193621,0.467727158806282
