"sample_id"	"PGS000163"	"PGS000164"	"PGS000165"	"PGS000166"	"PGS000167"	"PGS000168"	"PGS000169"	"PGS000170"	"PGS000171"	"PGS000172"	"PGS000173"	"PGS000174"	"PGS000175"	"PGS000176"	"PGS000177"	"PGS000178"	"PGS000179"	"PGS000180"	"PGS000181"	"PGS000182"	"PGS000183"	"PGS000184"	"PGS000185"	"PGS000186"	"PGS000187"	"PGS000188"	"PGS000189"	"PGS000190"	"PGS000191"
"GTEX-12696"	0.4575418	1.0110713	-3.8021265	-2.7966008	0.1934588	1.8905882	4.0203972	4.1948668	2.6431416	-0.2327669	0.0339325	3.5370636	1.9891443	3.6926195	1.1350698	0.2397607	0.6720974	0.1504177	0.942723	-1.0240298	-0.1536947	2.4730688	2.4682558	0.5107317	0.0883265	1.0039612	3.7428763	4.0327625	-0.6397015
"GTEX-1269C"	0.5135883	0.9439646	-4.2410881	-3.5225375	0.00255519999999997	1.6007835	4.4068147	4.3920441	3.0163894	-0.4103719	-0.1640406	2.4018623	1.6703882	2.114659	1.456988	0.3430241	0.677699	-0.1249106	-0.2985036	-1.0230814	0.1224248	3.0239696	2.7600792	0.8756612	0.4913101	1.0523361	4.3621866	4.4274423	-0.8131362
"GTEX-12C56"	0.2980901	1.074794	-4.3062828	-3.471037	-0.1698843	1.7440102	4.1144118	4.6719212	3.1223999	-0.2927188	-0.2779669	3.1320322	1.8096789	3.0958299	1.8274043	1.129586	0.8668995	0.0620144999999999	0.8409382	-0.9988535	-0.0452850999999999	2.9511899	2.4023563	1.0423436	0.3820652	0.5216588	4.0278347	4.5281542	-0.8308218
"GTEX-12KS4"	0.2383275	0.8890953	-4.1660053	-3.2415713	0.507707	2.0479348	4.2220588	4.3952923	2.7264566	-0.2497229	-0.00755389999999999	2.4609398	1.6914182	2.3029122	1.5828319	0.3366266	0.5885112	-0.5741312	0.1199476	-0.8396631	0.0461214	2.9216629	2.2615944	0.9729089	1.1583966	0.7020189	4.3805452	4.5364508	-0.6924021
"GTEX-12WSA"	0.6419083	0.984143	-3.9725996	-3.4778361	-0.0444994	1.7385582	4.6966959	4.6903053	2.8805798	-0.6379675	-0.1501977	2.2935012	2.0033097	2.0752963	1.2191356	-0.1616598	0.6541804	-1.6850699	-0.3372387	-0.5442584	0.2481977	2.7242503	2.5181232	0.752891	1.0890458	0.3654308	4.7588378	4.9917969	-0.3947816
"GTEX-12WSD"	0.2702697	0.8100365	-3.8969772	-3.5495776	0.4535162	1.787921	4.6751147	4.844335	3.2070183	-0.412293	-0.0847983	3.0410935	2.2092627	2.5495374	1.7601092	0.646445	0.3667196	-0.7900476	-0.1577015	-1.1319205	-0.0184084999999999	2.7605894	2.4718619	0.9454415	0.5555692	0.8634337	4.7901799	4.9801568	-1.3644803
"GTEX-12WSE"	0.3725313	0.9404189	-4.053433	-3.595395	-0.1121503	1.4268423	3.7770276	4.0370682	2.3991816	-0.17492	-0.4593768	2.5360285	1.8221424	2.168033	1.9562085	0.7718404	1.1026698	-0.2123553	0.2362267	-0.455413	0.0405020000000001	3.5771552	1.9180799	1.2242839	0.4793238	0.7939953	3.7089536	4.013311	-0.3601271
"GTEX-12WSF"	0.2858546	0.8158413	-3.8285005	-3.0563558	0.095379	1.686517	3.541985	3.6952572	2.4340166	-0.407421	-0.2528332	2.7145686	1.6521224	2.592366	1.4670514	0.9821945	1.273881	-0.5007001	-0.0642902999999999	-0.8291888	-0.0413825999999999	2.4733602	2.2344771	0.7486807	0.8469871	1.5145921	3.3758523	3.9422767	-0.6023448
"GTEX-12WSG"	0.6825758	1.0717973	-4.0443138	-3.3346427	-0.3636937	1.306145	4.2961271	4.4375949	2.7127085	-0.0153696	-0.1838495	2.3656816	1.5007785	2.0521856	1.9829738	0.4097481	0.6095274	-1.314933	-0.0305939999999999	-0.3288708	0.2911295	2.3667927	1.9937759	0.6074126	0.7823094	1.4406781	4.5038706	4.7855233	-0.4923747
"GTEX-12WSH"	0.5674166	1.1069714	-4.007344	-3.5879919	0.0242544	1.4829234	3.5493075	3.9315959	2.2786881	-0.0945357	0.2168505	2.1159148	1.4683219	1.9551545	1.0598315	-0.0345274	0.3068859	-0.7948977	-0.7268593	-0.814045	-0.1423678	3.1739971	2.5592623	1.4221497	0.8075392	1.1413732	3.702416	4.106629	-0.5288847
"GTEX-12WSI"	0.289934	0.8443044	-4.2422792	-3.6624789	0.1216182	1.7754951	3.8585401	4.2536268	2.3295471	-0.1940796	0.1336759	2.6458579	2.0710266	2.7938281	2.0120784	0.7315674	0.4576996	-1.0085951	-0.0503209999999999	-0.7253689	-0.0929877999999999	3.2391237	2.1592893	1.4712924	1.3073077	0.8718411	4.2229276	4.3224066	-0.4885351
"GTEX-12WSJ"	0.1800312	0.8963558	-4.0625895	-3.2913239	-0.0333777000000001	1.6149301	3.7728226	4.1282563	2.6313178	-0.5261	-0.2173101	3.5377839	2.0648419	3.1257023	1.3818875	0.553489	0.3623296	-0.439419	0.910631	-0.9693503	0.0924281	2.8842966	2.0360245	1.2100325	0.1310112	0.1453704	4.0434575	4.2855002	-0.3511061
